clientid,CUSTOMERNAME,PHONE,CONTACTLASTNAME,CONTACTFIRSTNAME
0,Land of Toys Inc.,2125557818,Yu,Kwai
1,Reims Collectables,26.47.1555,Henriot,Paul
2,Lyon Souveniers,+33 1 46 62 7555,Da Cunha,Daniel
3,Toys4GrownUps.com,6265557265,Young,Julie
4,Corporate Gift Ideas Co.,6505551386,Brown,Julie
5,Technics Stores Inc.,6505556809,Hirano,Juri
6,Daedalus Designs Imports,20.16.1555,Rance,Martine
7,Herkku Gifts,+47 2267 3215,Oeztan,Veysel
8,Mini Wheels Co.,6505555787,Murphy,Julie
9,Auto Canal Petit,(1) 47.55.6555,Perrier,Dominique
10,"Australian Collectors, Co.",03 9520 4555,Ferguson,Peter
11,Vitachrome Inc.,2125551500,Frick,Michael
12,Tekni Collectables Inc.,2015559350,Brown,William
13,Gift Depot Inc.,2035552570,King,Julie
14,La Rochelle Gifts,40.67.8555,Labrune,Janine
15,Marta's Replicas Co.,6175558555,Hernandez,Marta
16,"Toys of Finland, Co.",90-224 8555,Karttunen,Matti
17,Baane Mini Imports,07-98 9555,Bergulfsen,Jonas
18,Diecast Classics Inc.,2155551555,Yu,Kyung
0,Land of Toys Inc.,2125557818,Yu,Kwai
20,Salzburg Collectables,6562-9555,Pipps,Georg
21,Souveniers And Things Co.,+61 2 9495 8555,Huxley,Adrian
14,La Rochelle Gifts,40.67.8555,Labrune,Janine
23,FunGiftIdeas.com,5085552555,Benitez,Violeta
24,"UK Collectables, Ltd.",(171) 555-2282,Devon,Elizabeth
25,Euro Shopping Channel,(91) 555 94 44,Freyre,Diego
17,Baane Mini Imports,07-98 9555,Bergulfsen,Jonas
27,"Volvo Model Replicas, Co",0921-12 3555,Berglund,Christina
28,"Corrida Auto Replicas, Ltd",(91) 555 22 82,Sommer,Mart¡n
5,Technics Stores Inc.,6505556809,Hirano,Juri
30,"Dragon Souveniers, Ltd.",+65 221 7555,Natividad,Eric
31,Classic Legends Inc.,2125558493,Hernandez,Maria
32,"Australian Gift Network, Co",61-7-3844-6555,Calaghan,Tony
33,"Classic Gift Ideas, Inc",2155554695,Cervantes,Francisca
34,"Saveley & Henriot, Co.",78.32.5555,Saveley,Mary
35,Canadian Gift Exchange Network,(604) 555-3392,Tannamuri,Yoshi
36,West Coast Collectables Co.,3105553722,Thompson,Steve
37,Cambridge Collectables Co.,6175555555,Tseng,Kyung
